touches_per_day,session_count
0,1
1,2
19,1
21,1
24,1
27,1
30,1
31,1
33,1
36,1
39,2
49,1
55,2
56,1
57,2
58,1
59,1
60,1
61,1
62,4
63,1
65,1
66,1
67,3
69,1
70,2
75,1
76,1
78,1
79,2
80,1
81,1
82,2
83,2
84,1
85,1
88,1
89,1
92,1
93,1
95,1
98,1
100,1
101,1
102,1
103,1
104,2
105,1
106,1
110,1
112,3
113,1
115,1
117,2
118,1
119,1
120,1
121,1
125,1
126,1
128,1
131,1
136,1
139,2
140,1
142,1
143,1
145,1
146,1
148,1
149,1
156,1
157,1
159,1
160,1
164,1
167,1
169,1
173,3
174,1
175,2
179,1
185,1
189,1
266,1
296,1
