event_type,direction,window_seconds,avg_mfe,median_mfe,p75_mfe,p90_mfe,avg_mae,median_mae,avg_time_to_mfe,sample_size
CROSS,FROM_ABOVE,60,23.5294592413236481,14.0,29.0,54.0,39.7134786117836965,27.0,60.0000000000000000,1239
CROSS,FROM_ABOVE,180,38.7110573042776433,22.0,48.0,97.20000000000005,47.0193704600484262,32.0,121.9234746639089969,1239
CROSS,FROM_ABOVE,300,48.4503631961259080,28.0,60.0,112.20000000000005,53.9063761097659403,35.0,182.3575638506876228,1239
CROSS,FROM_ABOVE,900,79.8853914447134786,49.0,99.0,191.60000000000014,78.1178369652945924,49.0,479.2863677950594694,1239
CROSS,FROM_ABOVE,1800,113.1202582728006457,66.0,132.5,286.4000000000001,101.2832929782082324,64.0,919.9469496021220159,1239
CROSS,FROM_BELOW,60,21.8868525896414343,13.0,26.0,47.0,39.8772908366533865,27.0,60.0000000000000000,1255
CROSS,FROM_BELOW,180,33.9737051792828685,20.0,38.0,77.0,48.2501992031872510,32.0,125.6557377049180328,1255
CROSS,FROM_BELOW,300,42.4780876494023904,25.0,49.0,100.60000000000014,55.7904382470119522,35.0,187.7884615384615385,1255
CROSS,FROM_BELOW,900,71.2398406374501992,40.0,87.0,168.0,82.6605577689243028,52.0,498.8632326820603908,1255
CROSS,FROM_BELOW,1800,94.4406374501992032,59.0,114.0,213.60000000000014,111.4127490039840637,68.0,948.6541737649063032,1255
PIERCE,FROM_ABOVE,60,18.5016181229773463,12.0,22.0,38.39999999999998,16.1262135922330097,11.0,60.0000000000000000,309
PIERCE,FROM_ABOVE,180,25.9417475728155340,16.0,31.0,60.19999999999999,24.9385113268608414,18.0,130.9090909090909091,309
PIERCE,FROM_ABOVE,300,33.9514563106796117,20.0,40.0,82.19999999999999,33.3365695792880259,21.0,195.8823529411764706,309
PIERCE,FROM_ABOVE,900,54.8511326860841424,36.0,70.0,122.59999999999991,53.4886731391585761,32.0,513.9344262295081967,309
PIERCE,FROM_ABOVE,1800,76.5954692556634304,46.0,92.0,174.99999999999994,71.5016181229773463,43.0,977.5384615384615385,309
PIERCE,FROM_BELOW,60,19.2515527950310559,13.0,23.0,41.900000000000034,21.0310559006211180,15.0,60.0000000000000000,322
PIERCE,FROM_BELOW,180,25.8260869565217391,18.0,32.0,59.0,30.0155279503105590,20.0,130.6930693069306931,322
PIERCE,FROM_BELOW,300,31.1304347826086957,22.0,39.0,72.30000000000024,36.2236024844720497,24.0,197.1818181818181818,322
PIERCE,FROM_BELOW,900,53.9813664596273292,35.5,66.0,116.0,60.5900621118012422,41.0,521.7692307692307692,322
PIERCE,FROM_BELOW,1800,72.2763975155279503,48.0,89.0,156.30000000000024,84.6335403726708075,53.0,965.1985559566787004,322
TOUCH,FROM_ABOVE,60,16.5994832041343669,11.0,20.0,34.0,16.8863049095607235,12.0,60.0000000000000000,387
TOUCH,FROM_ABOVE,180,24.9896640826873385,16.0,28.5,50.400000000000034,24.0129198966408269,16.0,133.3054393305439331,387
TOUCH,FROM_ABOVE,300,30.6718346253229974,19.0,36.0,63.80000000000007,29.2299741602067183,18.0,201.2030075187969925,387
TOUCH,FROM_ABOVE,900,54.7829457364341085,29.0,62.0,124.2000000000001,46.3229974160206718,31.0,482.3376623376623377,387
TOUCH,FROM_ABOVE,1800,79.6124031007751938,41.0,89.0,190.60000000000014,62.5452196382428941,41.0,952.2935779816513761,387
TOUCH,FROM_BELOW,60,17.5794871794871795,12.0,21.75,38.10000000000002,18.7153846153846154,13.0,60.0000000000000000,390
TOUCH,FROM_BELOW,180,24.3358974358974359,16.5,30.75,50.200000000000045,28.4102564102564103,19.0,126.7441860465116279,390
TOUCH,FROM_BELOW,300,29.9025641025641026,21.0,36.0,59.200000000000045,35.8743589743589744,23.0,197.5609756097560976,390
TOUCH,FROM_BELOW,900,51.1000000000000000,34.0,58.75,112.50000000000011,56.1435897435897436,35.0,527.0414201183431953,390
TOUCH,FROM_BELOW,1800,69.4461538461538462,48.0,87.75,140.20000000000005,74.3897435897435897,47.5,983.0769230769230769,390
